Cell Number,X Coordinate,Y Coordinate
1,0,0
31,0,1
61,0,2
91,0,3
181,0,6
211,0,7
241,0,8
16,15,0
46,15,1
76,15,2
106,15,3
196,15,6
226,15,7
256,15,8
286,15,9
18,17,0
48,17,1
78,17,2
108,17,3
198,17,6
228,17,7
258,17,8
288,17,9
376,15,12
406,15,13
436,15,14
466,15,15
378,17,12
408,17,13
438,17,14
468,17,15
3,2,0
33,2,1
63,2,2
93,2,3
183,2,6
213,2,7
243,2,8
273,2,9
4,3,0
34,3,1
64,3,2
94,3,3
184,3,6
214,3,7
244,3,8
274,3,9
6,5,0
36,5,1
66,5,2
96,5,3
186,5,6
216,5,7
246,5,8
276,5,9
7,6,0
37,6,1
67,6,2
97,6,3
187,6,6
217,6,7
247,6,8
277,6,9
366,5,12
367,6,12
9,8,0
39,8,1
69,8,2
99,8,3
189,8,6
219,8,7
249,8,8
279,8,9
10,9,0
40,9,1
70,9,2
100,9,3
190,9,6
220,9,7
250,9,8
280,9,9
369,8,12
399,8,13
370,9,12
400,9,13
12,11,0
42,11,1
72,11,2
102,11,3
192,11,6
222,11,7
252,11,8
282,11,9
13,12,0
43,12,1
73,12,2
103,12,3
193,12,6
223,12,7
253,12,8
283,12,9
372,11,12
402,11,13
432,11,14
373,12,12
403,12,13
433,12,14
20,19,0
50,19,1
80,19,2
110,19,3
200,19,6
230,19,7
260,19,8
290,19,9
21,20,0
51,20,1
81,20,2
111,20,3
201,20,6
231,20,7
261,20,8
291,20,9
380,19,12
410,19,13
440,19,14
470,19,15
500,19,16
381,20,12
411,20,13
441,20,14
471,20,15
501,20,16
203,22,6
233,22,7
263,22,8
293,22,9
204,23,6
234,23,7
264,23,8
294,23,9
383,22,12
413,22,13
443,22,14
473,22,15
503,22,16
384,23,12
414,23,13
444,23,14
474,23,15
504,23,16
563,22,18
564,23,18
206,25,6
236,25,7
266,25,8
296,25,9
207,26,6
237,26,7
267,26,8
297,26,9
446,25,14
476,25,15
506,25,16
447,26,14
477,26,15
507,26,16
566,25,18
596,25,19
567,26,18
597,26,19
209,28,6
239,28,7
269,28,8
299,28,9
210,29,6
240,29,7
270,29,8
300,29,9
449,28,14
479,28,15
509,28,16
450,29,14
480,29,15
510,29,16
569,28,18
599,28,19
570,29,18
600,29,19
629,28,20
630,29,20
